I/System.out: Pkg: com.huawei.contactscamcard	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hiboard	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.vrservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.dsdscardmanager	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwaps	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwouc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.maxxipoint.android	ForegroundTime: 80284	BackgroundTime: 80284	Count: 8
I/System.out: Pkg: com.huawei.powergenie	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.evernote	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: cn.com.langeasy.LangEasyLrc	ForegroundTime: 15982	BackgroundTime: 15982	Count: 2
I/System.out: Pkg: com.android.settings	ForegroundTime: 175015	BackgroundTime: 175015	Count: 12
I/System.out: Pkg: com.huawei.ihealth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.location.activityrecognition	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.email	ForegroundTime: 76977	BackgroundTime: 76977	Count: 1
I/System.out: Pkg: com.android.phone	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.blockednumber	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.userdictionary	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.location.fused	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.deskclock	ForegroundTime: 9721	BackgroundTime: 9721	Count: 6
I/System.out: Pkg: com.android.systemui	ForegroundTime: 17411	BackgroundTime: 17411	Count: 10
I/System.out: Pkg: fm.jihua.kecheng	ForegroundTime: 5241	BackgroundTime: 5241	Count: 1
I/System.out: Pkg: com.taobao.taobao	ForegroundTime: 2101155	BackgroundTime: 2101155	Count: 153
I/System.out: Pkg: com.huawei.ca	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.bluetooth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.rongc.shxj	ForegroundTime: 26894	BackgroundTime: 26894	Count: 4
I/System.out: Pkg: com.android.providers.contacts	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.netease.cloudmusic	ForegroundTime: 647905	BackgroundTime: 647905	Count: 85
I/System.out: Pkg: com.eg.android.AlipayGphone	ForegroundTime: 227325	BackgroundTime: 227325	Count: 40
I/System.out: Pkg: com.huawei.android.airsharing	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.greenpoint.android.mc10086.activity	ForegroundTime: 201286	BackgroundTime: 201286	Count: 42
I/System.out: Pkg: com.huawei.camera	ForegroundTime: 178665	BackgroundTime: 178665	Count: 15
I/System.out: Pkg: com.google.android.ext.services	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.launcher	ForegroundTime: 2560114	BackgroundTime: 2560114	Count: 220
I/System.out: Pkg: com.android.mediacenter	ForegroundTime: 558374	BackgroundTime: 558374	Count: 66
I/System.out: Pkg: com.android.providers.telephony	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.phone.recorder	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.calendar	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.health	ForegroundTime: 76163	BackgroundTime: 76163	Count: 11
I/System.out: Pkg: com.huawei.hidisk	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iaware	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.media	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.thememanager	ForegroundTime: 452222	BackgroundTime: 452222	Count: 48
I/System.out: Pkg: com.huawei.android.chr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.FloatTasks	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.intelligent	ForegroundTime: 64076	BackgroundTime: 64076	Count: 5
I/System.out: Pkg: com.huawei.motionservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.appmarket	ForegroundTime: 597378	BackgroundTime: 597378	Count: 69
I/System.out: Pkg: com.huawei.parentcontrol	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.secime	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.vdrive	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.iflytek.speechsuite	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.mms.service	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.wallet	ForegroundTime: 2773	BackgroundTime: 2773	Count: 4
I/System.out: Pkg: com.huawei.android.totemweather	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.downloads	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.cryptosms.service	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: bc.leg	ForegroundTime: 236955	BackgroundTime: 236955	Count: 11
I/System.out: Pkg: com.huawei.securitymgr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.browser	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iconnect	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwvplayer.youku	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.defcontainer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.vending	ForegroundTime: 510127	BackgroundTime: 510127	Count: 42
I/System.out: Pkg: com.hisi.mapcon	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mm	ForegroundTime: 2860940	BackgroundTime: 2860940	Count: 214
I/System.out: Pkg: com.baidu.input_huawei	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.evergreen.greendroid	ForegroundTime: 86542	BackgroundTime: 86542	Count: 4
I/System.out: Pkg: android	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.android.qqdownloader	ForegroundTime: 747	BackgroundTime: 747	Count: 3
I/System.out: Pkg: com.huawei.imonitor	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwid	ForegroundTime: 39232	BackgroundTime: 39232	Count: 12
I/System.out: Pkg: com.android.contacts	ForegroundTime: 16032	BackgroundTime: 16032	Count: 6
I/System.out: Pkg: com.android.mms	ForegroundTime: 74423	BackgroundTime: 74423	Count: 38
